序号,项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类
2675,圣苑,"89方大2房,30万装修全送,全名户型,低首付,好房诚售",89,2室2厅,高层,11,南北向,2007,56742,505,杭州市学军小学紫金港校区,0.24km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
2676,大关南七苑,"大关标准两房,房东诚心出售,价格可谈,看房方便",63,2室1厅,中层,6,南北向,1998,31862,200,杭州市德胜小学教育集团德胜校区,0.26km,上塘,11个小区,否,是,是,否,否,否,否,否,否,否,否
2677,大关南七苑,"沿河景观房,15万精装两房,南北通透,采光好,楼层佳,诚售!",54,2室1厅,高层,6,南北向,1999,27946,152,杭州市德胜小学教育集团德胜校区,0.26km,上塘,11个小区,否,是,是,否,否,否,否,否,否,否,否
2678,大关南七苑,"大关南七苑,新上精装标准一室一厅,采光好,中间楼层,沿河边。",37,1室1厅,低层,6,南向,1999,27568,102,杭州市德胜小学教育集团德胜校区,0.26km,上塘,11个小区,否,是,是,否,否,否,否,否,否,否,否
2679,义井巷社区,西湖大道 户型正气 楼层 房东诚心出售 !,55,2室1厅,中层,6,南北向,1996,36049,200,杭州市回族穆兴小学,0.34km,上城,10个小区,是,是,否,否,否,否,是,否,否,否,否
2680,广德小区,广德小区 91方220万 户型方正 银河北干雪区 房东诚售,90,3室1厅,低层,6,南北向,2005,24444,220,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2681,广德小区,"广德小区.,金城路沿线.大润发.萧山医院",92,3室2厅,低层,6,南北向,2002,20870,192,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2682,广德小区,广德小区 经典3房 南北通透 口 银河北干房 诚心售,91,3室2厅,低层,6,南北向,2002,21758,198,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2683,圣苑,"文鼎苑二期,高楼层,南北通透,房东13年40万精装,无!",136,3室2厅,高层,24,南北向,2007,48162,655,杭州市学军小学紫金港校区,0.24km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
2684,广德小区,广泽小区 刚需3房2厅2卫 房东诚心 家具家电全送,64,3室2厅,高层,6,南向,2002,19531,125,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2685,广德小区,广德小区 91方225万 户型方正 银河北干雪区 房东诚售,90,3室1厅,中层,6,南北向,2005,24444,220,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2686,广德小区,广德小区 91方225万 户型方正 银河北干雪区 房东诚售,90,3室1厅,中层,6,南北向,2005,24444,220,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2687,万家花城,"万家花城新上89方,正对小区花园,不沿马路,刚需的首要选择!",89,3室2厅,低层,25,南北向,2010,40449,360,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2688,圣苑,"新上14年新加坡设计师设计,65万装修,好房只等有缘人!!!",152,4室2厅,高层,24,南北向,2008,45395,690,杭州市学军小学紫金港校区,0.24km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
2689,天运花园,三华天运花园 运河边 清爽装修标准小套 诚卖价钱可谈,68,1室1厅,中层,25,南向,2000,30882,210,杭州濮家小学教育集团万家校区,0.12km,闸弄口,8个小区,否,是,是,否,否,否,否,否,否,否,否
2690,天运花园,"天运新上景观房,全明三房,总价zui低的三房,看房方便",113,3室2厅,高层,11,南北向,2006,37168,420,杭州濮家小学教育集团万家校区,0.12km,闸弄口,8个小区,否,是,是,否,否,否,否,否,否,否,否
2691,天运花园,运河景观房 可 电梯景观房 视野好 双,135,3室2厅,低层,18,南向,2000,31111,420,杭州濮家小学教育集团万家校区,0.12km,闸弄口,8个小区,否,是,是,否,否,否,否,否,否,否,否
2692,天运花园,濮家 全明东边套 30万豪华自住装修 您值得一看,85,2室2厅,低层,25,南北向,2006,36518,310,杭州濮家小学教育集团万家校区,0.12km,闸弄口,8个小区,否,是,是,否,否,否,否,否,否,否,否
2693,大关南七苑,精致户型享受阳光生活 主卧朝南 南北通透 全明户型 诚心出售,58,2室1厅,中层,6,南北向,1998,31034,180,杭州市德胜小学教育集团德胜校区,0.26km,上塘,11个小区,否,是,是,否,否,否,否,否,否,否,否
2694,广德小区,广德小区 房东自住装修 楼层户型正 环境好采光足 房东诚心售,93,3室2厅,中层,6,南北向,2006,20538,191,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2695,万家花城,万家花城新上好三房看装修楼下就是口斜就是银泰城!,141,3室2厅,中层,20,南向,2009,41749,589,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2696,广德小区,"广德小区88方三房,好户型,房东诚售210万可谈 欢迎来电!",88,3室2厅,中层,6,南北向,2003,23864,210,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2697,广德小区,广德小区 就读银河北干 毛坯房 看房有钥匙,89,3室2厅,低层,6,南北向,2002,24719,220,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2698,广德小区,"广德小区三期,大润发旁,配套成熟,黄.金楼层,全新精装修",105,3室2厅,中层,6,南北向,2008,21905,230,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2699,广德小区,新上房源 广德小区 银河北干 3房户型 房东诚心出售,88,3室2厅,高层,6,南向,1996,25551,225,萧山区银河实验小学,1.37km,萧山,4个小区,是,是,否,否,否,否,否,否,否,否,否
2700,高运莱茵传奇,"莱茵传奇纯东边套,119方350万,满两年,钥匙看房",119,4室2厅,中层,17,南向,2016,29412,350,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2701,水印康庭,自住豪华装修 四房朝南 新湖绿家电家具城物业,102,4室2厅,中层,11,南北向,2010,41610,425,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2702,水印康庭,"新挂牌,房主诚售,精装2室2厅1卫 水印康庭 家电全送!",85,2室2厅,高层,10,南向,2005,26567,225,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2703,高运莱茵传奇,高运莱茵传奇89方三房两厅户型 面积多 前后无遮挡户型好,89,3室2厅,低层,18,南向,2016,31348,279,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2704,高运莱茵传奇,高运莱茵传奇独栋西边套物业高品质住宅,89,4室2厅,中层,18,西向,2016,32022,285,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2705,水印康庭,水印康庭130方大三房 480万 家具家电全送 5,130,3室2厅,中层,11,南北向,2006,36923,480,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2706,嘉绿北苑,2号线已经开通啦!精 致户型 两房朝南 户型正气,89,3室2厅,中层,6,南北向,1999,41348,368,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2707,嘉绿北苑,"户型正气,不沿马路,南北通透,采光无遮挡。看房方便。欢迎来电",71,2室2厅,中层,7,南北向,2010,36518,258,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2708,高运莱茵传奇,高运莱茵传奇89方三房两厅户型 多 前后无遮挡户型好,89,3室2厅,高层,17,南北向,2016,30899,275,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2709,水印康庭,水印康庭新上5.4米 业主被其他中介骗了 旨在我们卖,60,3室2厅,中层,12,南北向,2006,43624,260,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2710,嘉绿北苑,嘉绿北苑 小区环境好 采光好 位置安静 采光好 中间楼层,124,3室2厅,中层,5,南北向,1999,30949,385,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2711,嘉绿北苑,精装好房 交通方便 满五 南北通透,125,4室2厅,高层,6,南北向,2000,39103,488,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2712,高运莱茵传奇,"花30万刚装修好就离杭,当毛坯价甩卖!",89,4室2厅,中层,18,南北向,2016,29213,260,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2713,高运莱茵传奇,"南北高性价比景观入户露台,阳光清风随时造访生活。",89,2室1厅,低层,18,南北向,2016,28090,250,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2714,嘉绿北苑,"口,经典三房,全明户型,南北通透,得房,沿河景观房",106,3室2厅,中层,7,南北向,1999,35849,380,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2715,嘉绿北苑,"好房子,加好位置。",104,3室2厅,高层,7,南北向,2000,39347,410,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2716,高运莱茵传奇,"上海房东因工作调动,外派国外,所以出售此房,买一层送一层!",89,3室2厅,低层,17,南向,2016,37079,330,银河小学教育集团开发区小学,1.11km,萧山,16个小区,是,是,否,否,否,否,否,否,否,否,否
2717,水印康庭,水印康庭 正气户型 边套 格局方正 双卫 南北通透,90,3室2厅,高层,12,南北向,2006,45556,410,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2718,嘉绿北苑,嘉绿北苑 刚出炉的好房子 房东换房急售 户型正气 小区安静优雅,85,2室2厅,中层,6,南北向,1999,41176,350,文三街小学教育集团嘉绿苑小学,0.55km,西湖,12个小区,否,是,是,否,否,否,否,否,是,否,否
2719,圣苑,"圣苑小区,大两室双阳台,带个设备阳台,视野开阔,采光无遮挡!",89,2室2厅,中层,26,南北向,2008,60112,535,杭州市学军小学紫金港校区,0.24km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
2720,义井巷社区,铂金楼半 南北通透 居住舒适 适合养老 两室一厅 一梯两户,56,2室1厅,低层,7,南向,1994,33363,186,杭州市回族穆兴小学,0.34km,上城,10个小区,是,是,否,否,否,否,是,否,否,否,否
2721,万家花城,"万家花城新上二房,业主自住装修,看房方便",76,2室2厅,低层,18,南向,2009,36842,280,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2722,圣苑,"圣苑,正气四房,房东诚心出售,无营业税,停车方便!",152,4室2厅,高层,24,南北向,2008,47337,720,杭州市学军小学紫金港校区,0.24km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
2723,水印康庭,"西联广场边实用4房,中间楼层东边套好户型,装修清爽,5号线出口",136,4室2厅,中层,11,南向,2006,41176,560,杭州市青春中学东新园校区,0.78km,下城,3个小区,否,是,否,否,否,否,是,否,否,是,否
2724,锦绣文苑,"锦绣文苑四房两卫,三房朝南一房朝北,房东诚心卖 方便看房",142,4室2厅,低层,9,南北向,2003,42400,600,杭州市保_塔实验学校,0.52km,西湖,18个小区,否,是,否,否,否,否,是,否,是,是,否
2725,锦绣文苑,"西湖宝石山景区,年代新小区环境好,停车方便采光无遮挡。",112,3室1厅,中层,5,南北向,2004,53571,600,杭州市保_塔实验学校,0.52km,西湖,18个小区,否,是,否,否,否,否,是,否,是,是,否
2726,义井巷社区,河坊街、义井巷、南北通透、主卧朝南 采光不挡,52,2室1厅,中层,6,南北向,1993,41346,215,杭州市回族穆兴小学,0.34km,上城,10个小区,是,是,否,否,否,否,是,否,否,否,否
2727,欣盛东方福邸,"东方福邸,豪装200万,在卖的196方户型,正对花园",196,4室2厅,低层,24,西南向,2013,56122,1100,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2728,万家花城,万家花城浙大银泰在建大关精装修客厅,145,3室2厅,中层,17,东南向,2010,42364,613,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2729,小河佳苑,"东边套 两房两厅,豪华装修",86,3室1厅,中层,21,南向,2010,31395,270,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2730,小河佳苑,"小河佳苑 南北通透,阳光,装修精美,业主诚心,价格可谈",84,2室2厅,中层,12,南向,2008,24950,210,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2731,林司后小区,青蓝 本部 全明精装 不占出门 随时看房价格可谈,37,1室1厅,高层,7,南北向,1990,35135,130,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2732,林司后小区,新挂牌 青蓝 20万精装 3房格局 4楼 首付3成 2房南,70,2室2厅,中层,7,南北向,1990,43230,303,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2733,欣盛东方福邸,"正对小区花园,泳池,完全不沿马路,一期位置,不再有!",175,3室2厅,低层,24,南北向,2013,42286,740,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2734,万家花城,"万家花城,改善型大三房,纯东边套,申花高好房",141,3室2厅,中层,18,南北向,2009,39007,550,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2735,小河佳苑,",小河佳苑新上好房,全明边套,精装大三房,总价230w",92,3室2厅,中层,15,南向,2004,23913,220,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2736,小河佳苑,新上3房 全明边套 自住装修要求不高拎包住 看房方便 急!!,92,3室2厅,低层,17,南北向,2005,25543,235,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2737,小河佳苑,"大气两室, 全新装修, 现出国, 速速拿起电话预约看房!",86,2室2厅,高层,16,南北向,2008,27674,238,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2738,林司后小区,两房朝南 精装修 采光充足 楼层好 房东诚售,96,3室1厅,中层,7,南向,1995,42856,410,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2739,欣盛东方福邸,"东方福邸改善4房,大开间。双阳台。满2年,在卖的就这一套了。",139,4室2厅,高层,24,南北向,2013,48921,680,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2740,万家花城,"申花银泰城旁万家花城 3室2厅89银泰城旁口,东边套",144,3室2厅,高层,17,南北向,2009,40919,588,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2741,小河佳苑,全明户型 装修清爽 配套齐全 有钥匙随时可看,74,2室1厅,高层,13,西南向,2006,28378,210,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2742,小河佳苑,南北通透 温馨婚房 三口之家 房 成熟社区 交通便捷,95,3室1厅,低层,18,南向,2006,25789,245,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2743,林司后小区,"青蓝,中河路 浙一医院,南北2房 西边套",66,2室1厅,中层,7,南北向,1990,39394,260,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2744,林司后小区,采光好 房东诚心出售 周边设施齐全 小区闹中取静,44,2室1厅,高层,7,南向,1989,38496,170,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2745,万家花城,"申花大三房,中间楼层,采光边套等你来! 户型方正",118,3室2厅,高层,25,东北向,2009,37934,448,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2746,小河佳苑,"精装修朝南,采光好,交通便利,户型正,看房方便,楼层新",67,2室1厅,中层,15,南北向,2009,23881,160,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2747,林司后小区,"青蓝,精装修3房,低总价,采光好,房东诚心置换!",71,3室1厅,高层,7,南北向,1990,35018,248,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2748,欣盛东方福邸,40W精装修带车位户型方正南北通透随时看房,89,3室2厅,中层,24,南北向,2013,50225,447,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2749,欣盛东方福邸,开发商装修跃层户型直接入住 客厅带阳台 视眼开阔 采光无遮挡,90,3室2厅,低层,25,南北向,2013,44075,395,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2750,万家花城,"房东自住精装修,自己装修设计,不沿马路,高楼层,诚心出售",89,3室2厅,中层,24,南向,2009,43258,385,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2751,欣盛东方福邸,"银泰,交通方便,环境优美。",87,3室2厅,低层,24,南向,2014,52886,460,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2752,万家花城,"滨江品质,明星楼盘,实木地板,17年必火,您还等什么呢,赶紧",89,3室2厅,高层,18,西向,2010,37640,335,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2753,欣盛东方福邸,看房方便 户型正气 诚心出售 配套成熟 采光好 视野佳,63,1室1厅,高层,25,南北向,2013,36508,230,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2754,小河佳苑,"小河佳苑北区, 房东因工作调动, 挥泪, 寻求有缘人!",133,3室2厅,高层,16,南北向,2008,27068,360,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2755,小河佳苑,"东边套,单价低,",94,3室1厅,低层,13,南北向,2010,23352,220,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2756,林司后小区,青蓝!2号线口 正气大3房精装 一梯三户 多层3楼!!,96,3室1厅,中层,7,南向,1995,43901,420,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2757,林司后小区,"青蓝 ,单价只要35000,两房朝南。",54,2室1厅,高层,7,南向,1990,35237,190,杭州市青蓝小学(新华校区),0.11km,下城,8个小区,否,是,否,否,否,否,否,否,否,是,否
2758,欣盛东方福邸,"申花地段口高大上楼盘,东方福邸精3房,南北通透,房东诚售",89,3室2厅,中层,24,南北向,2013,48315,430,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2759,欣盛东方福邸,东方福邸 1室2厅 64平,65,1室2厅,高层,26,南北向,2013,38640,250,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2760,万家花城,万家花城橡树园东方福邸芳满庭慧园尚景国际上尚庭绅华府精装三房,105,3室2厅,中层,18,东南向,2010,43000,450,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2761,万家花城,"申花万家花城,滨江物业,精装,零城西银泰,出行方便",88,2室2厅,高层,20,南北向,2009,46591,410,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2762,欣盛东方福邸,东方福邸 自住精装小套 总价低环境好 诚心出售!,63,1室2厅,低层,24,南向,2014,36648,230,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2763,万家花城,"精装30万自住,房东换大套,价格都好商量,诚心出售的",89,3室2厅,低层,18,南北向,2009,27978,249,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2764,欣盛东方福邸,东方福邸 精装两居沿线因房子小换大地,89,3室2厅,中层,26,南北向,2013,50562,450,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2765,万家花城,"正规成熟小区,小区中间安静,,光线好!",139,3室2厅,中层,22,南北向,2010,39568,550,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2766,小河佳苑,"小河佳苑,房龄新,南北通透,精装修,户型正气,小区中间位置!",85,2室2厅,高层,18,南向,2004,29958,255,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2767,万家花城,"不沿马路,自住30万精装修,房东置换房子诚心出售!看房有钥匙",89,3室2厅,高层,18,南向,2009,37303,332,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2768,欣盛东方福邸,物业开发 尽享服务 精装修全送 高等楼层,89,3室2厅,高层,26,南北向,2013,46067,410,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2769,欣盛东方福邸,东方福邸168方850万! 大面积四房!送70万精装修!!!,168,4室2厅,高层,25,南北向,2013,53571,900,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2770,万家花城,"滨江物业,万家花城,89方纯边套,客厅带阳台朝小区花园",89,3室2厅,中层,18,南北向,2002,39326,350,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2771,小河佳苑,"全明小户型,刚需,看房方便,费,可以直接入住价格可谈!!",74,2室1厅,低层,15,南北向,2008,25662,190,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2772,小河佳苑,"小区年代新,这个价格还不到位?诚心卖,还不速度来看吖?诚售",63,2室1厅,低层,18,南北向,2005,30859,195,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2773,小河佳苑,"三室一厅,次新房,豪华装修,西边套,全明户型,诚心出售",93,3室1厅,中层,18,南北向,2008,23565,220,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2774,欣盛东方福邸,"东方福邸,4.5米挑高客厅户型,朝南泳池四面花园",175,3室2厅,低层,17,南北向,2013,44571,780,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2775,万家花城,万家花城位置好格局棒现在空置随时入住诚心出售,134,3室2厅,高层,25,南北向,2009,38806,520,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2776,欣盛东方福邸,"东方,正气一房,楼层恰到好处,诚心出售看房联系",64,1室1厅,高层,26,南北向,2010,41406,265,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2777,欣盛东方福邸,大四房!边套好户型!自住精装!品牌家具家电全送!换房诚卖!,193,4室2厅,低层,17,南北向,2013,47216,910,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2778,小河佳苑,小河佳苑 精装两房朝南 全明户型 别错过!,67,2室1厅,高层,18,南向,2005,26927,181,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2779,万家花城,万家花城 3房2厅1厨1卫 买房就找梦想亮、统变梦想实现家!,89,3室2厅,中层,25,南北向,2009,46067,410,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2780,欣盛东方福邸,低于市场50万 开发商百万豪装 房东买进未住过 不沿马路楼层好,222,5室2厅,高层,23,南北向,2013,44144,980,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2781,欣盛东方福邸,"在市区就能买到的大别墅,大气上档次,一览城西风采!",318,6室2厅,高层,17,南北向,2013,39308,1250,大关小学教育集团申花校区,0.41km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2782,小河佳苑,小河佳苑南区 年代新小区中间位置 精装!,86,2室2厅,中层,21,南向,2009,30233,260,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2783,小河佳苑,小河佳苑南区 清爽装修两房 南北通 客厅有窗!,73,2室2厅,低层,12,南北向,2008,27213,198,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2784,小河佳苑,全面边套 3房 自住清爽装修 没有税,84,3室1厅,中层,18,南北向,2010,27381,230,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2785,万家花城,纯东边套 豪华装修 不沿马路 南北通透 边上的自住,89,3室1厅,中层,14,南北向,2007,38202,340,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2786,小河佳苑,"精装修,房东换房急卖!省10万a税费!看房方便!!!!",60,2室1厅,中层,18,南北向,2009,24950,150,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2787,万家花城,万家花城 三开朝南户型 280万67方 诚心出售,77,2室2厅,中层,22,南北向,2013,36364,280,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2788,万家花城,"申花,万家花城,89方精装可直接入住好户型!自住省心!",89,3室2厅,低层,25,南北向,2009,43258,385,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2789,小河佳苑,全面边套 3房 自住清爽装修 没有税,84,3室1厅,中层,18,南北向,2010,27381,230,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2790,南湖丽景,南湖丽景小区精装大三房 上下方便 采光好 价格实惠,126,3室2厅,低层,23,南北向,2006,14286,180,余杭太炎小学(城南校区),0.36km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
2791,万家花城,万家花城 银泰城 诚心出售两室两厅 满五年 精装修拎包住,82,2室2厅,低层,25,南北向,2008,34714,285,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2792,万家花城,万家花城一期 3室2厅 339万 换房诚售 看房方便,90,3室2厅,中层,25,北向,2009,37725,339,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
2793,小河佳苑,后现代主义年轻人的选择!经典2室 诚心出售 看房方便!!!,66,2室2厅,中层,13,南向,2008,22727,150,拱墅区教师进修学校附属学校,0.23km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
2794,南湖丽景,"老余杭,婚房装新装修133方180万诚心出售!",133,3室2厅,中层,11,南北向,2008,13534,180,余杭太炎小学(城南校区),0.36km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
2795,万家花城,"真实价格 毗邻城西银泰,口,大 三房,纯东边套",139,3室2厅,中层,25,东南向,2009,40647,565,大关小学教育集团申花校区,0.69km,西湖,8个小区,是,是,否,否,是,否,否,否,否,否,否
